Komentar,Preprocessed Text,Sentiment
"""Kaka tidur yaa, udah pagi, gaboleh capek2""",kaka tidur yaa udah pagi gaboleh capek2,bulliying
"""makan nasi padang aja begini badannya""",makan nasi padang aja badannya,non-bulliying
"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",suka cukur jembut manggung,bulliying
"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",hai kak isyana ngefans banget kak isyanaaku suka lagu kak isyana lagu didalam jiwa,non-bulliying
"""Manusia apa bidadari sih herann deh cantik terus 😌♥️""",manusia bidadari sih herann deh cantik 😌♥️,non-bulliying
"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",ayukinantii isyan skrg berubah ya baju nya nakal,non-bulliying
"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",gemesnya isyan kayak tango berlapis lapis ciaaaa,non-bulliying
"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",jelek aja anaknya ayahnya cakep2,bulliying
"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",anaknya kayak udah tua gitu ya mukanya kk tasya,bulliying
"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",muka anak nya ko tua banget yaa gk ngegemesin gk lucu2nya,bulliying
"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",muka nya muka kolot wkwk muka bayi2 lucu gt,bulliying
"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",udah gila orang wkwk udah jomblo psikolog ga laku ya,bulliying
"""Lo sintingnya udah tingkat dewa""",lo sintingnya udah tingkat dewa,bulliying
"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",lutfi putus dgn salsa orang stress,bulliying
"""ANAK TOLOL INI MULAI AKTIF YA BUND""",anak tolol aktif ya bund,bulliying
"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",mati aja ga gedeg gua liat lu anjim,bulliying
"""Woy Lutfi asu , sok asik Lo ANJING !""",woy lutfi asu sok asik lo anjing,bulliying
"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",apasih kontol berantem aja ayo bngst lutfiagizal,bulliying
"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",pelakor plus hamil nikah ya pantesan anaknya kyk gini modelannya,bulliying
"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",anaknya udh pinter maknya kelempengan berasa baby tingginya azka aj melebihi mamanya,bulliying
"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",anak yg cerdas terbentuk dr pola asuh pola didik ortu yg cerdas sih saranya sesimple,non-bulliying
"""Setengah iri setengah jadi motivasi ini""",iri motivasi,non-bulliying
"""Ancur hidup lu kalau sama dia… Sumpah..""",ancur hidup lu dia… sumpah,bulliying
"""serem banget muka lo mel kayak ayam potong merah banget""",serem banget muka lo mel kayak ayam potong merah banget,bulliying
"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",yaudah jd pengusaha kuliner aja gausah artis makanannya emang bikin ngiler sih wkwkw,non-bulliying
"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",emang cocoknya pengusaha kuliner udah fixs semoha lancat terusssss,non-bulliying
"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",sejelek image owner ya artis ups artis hallo langsung orang tau image lu jelek gentong,bulliying
"""Apaan sih gak jelas hidupnya""",sih gak hidupnya,bulliying
"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",unfoll bilang najissss,bulliying
"""muka lu sensual tapi norak kenapa dah""",muka lu sensual norak dah,bulliying
"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",udah gk jaman ngebully orang hey netizen mending ngaca kekurangan,non-bulliying
"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",pas penempatannya sebenernya imut banget loh mel,non-bulliying
"""Cakep kaga jelek iya HAHAH""",cakep kaga jelek iya hahah,bulliying
"""jari jari kaki kayak jarinya tukang panggul""",jari jari kaki kayak jarinya tukang panggul,bulliying
"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",kakinya kek hamil tua ya bun kaki gajah ayuugsia,bulliying
"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",suka heran yg ngehina fisik bener ya pendosa,non-bulliying
"""Ini diedit biar langsing padahal mah klo live bomber badannya""",diedit biar langsing mah klo live bomber badannya,non-bulliying
"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",kakinya gedong sayyy kek kaki jantan… upp suka berbaur ama warwerwor mahluk astral yg kakinya gedong,bulliying
"""Bagusan foto pakai masker drpd gak pakai masker""",bagusan foto pakai masker drpd gak pakai masker,non-bulliying
"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",rosameldianti kakak foto memeknya keliatan tebal memeknya kakak bengkak yah,bulliying
"""Bra nya kedodoran kak make ukuran gede yaa""",bra nya kedodoran kak make ukuran gede yaa,non-bulliying
"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",cantik seneng usahanya membuahkan hasil semangat ya mel semoga pribadi,non-bulliying
